id,unit_no,size,nett_price,spa_price,comm,sale_id,project_id,created_at,updated_at
476,19-13,411,597679.0,699040.0,9550.91042,,7,2017-05-30 12:00:43.174283,2017-05-30 12:00:43.174283
60,N-33-6,1155,677600.0,770000.0,9554.16,,9,2017-04-29 09:10:21.777613,2017-04-29 09:10:21.80233
483,A-13-06,1391,1337050.0,2057000.0,31420.675,,17,2017-05-31 08:50:54.166159,2017-05-31 08:50:54.166159
61,N-34-5,1155,722480.0,821000.0,10186.97,,9,2017-04-29 09:10:21.903178,2017-04-29 09:10:21.918684
371,21-09,384,563239.0,658760.0,9000.55922,,7,2017-05-06 16:58:08.22253,2017-05-06 16:58:08.239815
492,25-13A,384,580081.2,666760.0,9269.697576,,7,2017-06-01 14:00:42.400537,2017-06-01 14:00:42.483142
62,N-36-3A,1155,689040.0,783000.0,9715.46,,9,2017-04-29 09:10:22.014583,2017-04-29 09:10:22.040367
379,11-11,1600,900000.0,1000000.0,12690.0,,8,2017-05-09 00:21:32.636098,2017-05-09 00:21:32.739342
63,N-6-2,1155,651200.0,740000.0,9181.92,,9,2017-04-29 09:10:22.324511,2017-04-29 09:10:22.346868
380,Q16-17,850,273240.0,297000.0,2568.456,,20,2017-05-09 10:35:03.355004,2017-05-09 10:35:03.390994
64,N5-3,1155,651200.0,740000.0,9181.92,,9,2017-04-29 09:10:22.48591,2017-04-29 09:10:22.508347
382,B 16-3,1000,462350.0,516500.0,3476.872,,6,2017-05-10 04:52:01.674808,2017-05-10 04:52:01.718366
385,A-12-05,1403,764235.0,899100.0,12212.4753,,1,2017-05-10 09:41:42.125077,2017-05-10 09:41:42.145918
65,N9-2,1155,679360.0,772000.0,9578.98,,9,2017-04-29 09:10:22.612914,2017-04-29 09:10:22.636024
504,S2-28-8,836,597445.2,663828.0,2807.99244,,24,2017-06-04 10:29:09.031066,2017-06-04 10:29:09.047595
390,13-05,578,827759.7,1064000.0,13227.600006,,7,2017-05-12 10:28:21.417856,2017-05-12 10:28:21.446686
66,N4-1,1155,648560.0,737000.0,9144.7,,9,2017-04-29 09:10:22.745136,2017-04-29 09:10:22.769195
392,20-3A,578,838019.7,1076000.0,13391.554806,,7,2017-05-12 10:34:08.246189,2017-05-12 10:34:08.246189
67,N12-6,1155,657360.0,747000.0,9268.78,,9,2017-04-29 09:10:22.890906,2017-04-29 09:10:22.913631
393,A-32-10,1403,790480.0,964000.0,12631.8704,,1,2017-05-13 07:13:57.059192,2017-05-13 07:13:57.093385
400,B-25-06,,798575.0,939500.0,12761.2285,,1,2017-05-14 11:52:35.985317,2017-05-14 11:52:35.999432
68,N-8-3,1155,679360.0,772000.0,9578.98,,9,2017-04-29 09:10:23.106137,2017-04-29 09:10:23.128799
411,D-28-09,1219,680827.9,852100.0,10879.629842,,1,2017-05-16 14:03:04.32825,2017-05-16 14:03:04.32825
69,L34-1,947,490320.0,544800.0,4609.01,,10,2017-04-29 09:10:23.237395,2017-04-29 09:10:23.263671
424,J-23-01,2065,1671783.2,2089729.0,23572.14312,,8,2017-05-20 07:38:08.593894,2017-05-20 07:38:08.593894
427,13-08,384,551269.0,644760.0,8809.27862,,7,2017-05-21 07:15:18.036378,2017-05-21 07:15:18.171698
70,N32-1,947,487620.0,541800.0,4583.63,,10,2017-04-29 09:10:23.368229,2017-04-29 09:10:23.384984
433,Q7-18,850,293480.0,319000.0,2758.712,,20,2017-05-22 11:39:06.646218,2017-05-22 11:39:06.6595
71,A-33A-3A,882,885600.0,984000.0,20811.6,,3,2017-04-29 09:10:23.56782,2017-04-29 09:10:23.584039
435,Q15-19,850,283360.0,308000.0,2663.584,,20,2017-05-23 11:57:47.271004,2017-05-23 11:57:47.300237
443,B-19-05,1200,1107100.0,1313340.0,10406.74,,18,2017-05-25 07:00:10.167474,2017-05-25 07:00:10.193864
72,N-30-3A,1155,713000.0,810000.0,10053.3,,9,2017-04-29 09:10:23.873505,2017-04-29 09:10:23.890897
447,K-32-03A,1603,1438824.0,1798530.0,20287.4184,,8,2017-05-26 05:42:30.873542,2017-05-26 05:42:30.900645
73,N-35-3A,1155,717200.0,815000.0,10112.52,,9,2017-04-29 09:10:24.176884,2017-04-29 09:10:24.193157
448,A-41-12,850,448000.0,460000.0,3368.96,,2,2017-05-27 09:44:25.601111,2017-05-27 09:44:25.650352
466,A-3A-3A,1000,459000.0,510000.0,3451.68,,6,2017-05-29 14:53:33.124425,2017-05-29 14:53:33.179232
74,N-26-6,1155,706640.0,803000.0,9963.62,,9,2017-04-29 09:10:24.39157,2017-04-29 09:10:24.409287
512,C-9-8,1219,728195.0,856700.0,11636.5561,,1,2017-06-04 16:18:53.287656,2017-06-04 16:18:53.302315
75,N-26-2,1155,706640.0,803000.0,9963.62,,9,2017-04-29 09:10:24.585296,2017-04-29 09:10:24.604082
76,N-36-6,1155,656480.0,746000.0,9256.37,,9,2017-04-29 09:10:24.721661,2017-04-29 09:10:24.73848
77,C-36-3,850,460000.0,460000.0,3450.12,,2,2017-04-29 09:10:24.839303,2017-04-29 09:10:24.867771
78,A-13A-06,1930,1270458.0,1512450.0,20301.91884,,11,2017-04-29 09:10:24.977296,2017-04-29 09:10:25.022001
369,B-17-9,850,430000.0,460000.0,3233.6,,2,2017-05-06 05:22:42.854236,2017-05-06 05:22:42.883616
372,21-08,384,563239.0,658760.0,9000.55922,,7,2017-05-06 17:02:42.646663,2017-05-06 17:02:42.685248
79,N-24-2,1155,672232.0,799000.0,9478.47,,9,2017-04-29 09:10:25.221988,2017-04-29 09:10:25.251048
471,23A-08,,0.0,0.0,0.0,,7,2017-05-30 11:24:12.481303,2017-05-30 11:24:12.604632
377,33-09,384,594001.0,682760.0,9492.13598,,7,2017-05-08 06:54:30.370872,2017-05-08 06:54:30.398662
80,N-2-2,1155,597672.0,712000.0,8427.18,,9,2017-04-29 09:10:25.450733,2017-04-29 09:10:25.477106
381,C-37-10,850,460000.0,460000.0,3459.2,,2,2017-05-09 10:38:43.977738,2017-05-09 10:38:44.196508
383,L 24-2,1055,495544.0,579800.0,4658.1136,,10,2017-05-10 08:07:06.045828,2017-05-10 08:07:06.143074
81,15-6,1155,659120.0,749000.0,9293.59,,9,2017-04-29 09:10:25.592934,2017-04-29 09:10:25.613641
90,A-8-1,1286,1145700.0,1273000.0,26923.95,,3,2017-04-29 09:10:27.256134,2017-04-29 09:10:27.289118
89,A-37-6,823,840600.0,934000.0,19754.1,,3,2017-04-29 09:10:27.124958,2017-04-29 09:10:27.149254
82,N6-6,1155,651200.0,740000.0,9181.92,,9,2017-04-29 09:10:25.723945,2017-04-29 09:10:25.747355
391,20-3A,578,838019.7,1076000.0,13391.554806,,7,2017-05-12 10:30:43.434351,2017-05-12 10:30:43.456725
83,L26-1,947,482220.0,535800.0,4532.87,,10,2017-04-29 09:10:25.85491,2017-04-29 09:10:25.878787
394,C-27-3A,1434,726684.0,886200.0,11612.41032,,1,2017-05-13 07:17:43.069486,2017-05-13 07:17:43.080095
401,B-25-06,,798575.0,939500.0,12761.2285,,1,2017-05-14 11:58:13.28164,2017-05-14 11:58:13.29156
84,C-9-2,850,460000.0,460000.0,3450.12,,2,2017-04-29 09:10:25.986025,2017-04-29 09:10:26.00249
412,13A-09,,552124.8,645760.0,8822.954304,,7,2017-05-16 14:20:45.118187,2017-05-16 14:20:45.132448
85,N-4-6,1155,648560.0,737000.0,9144.7,,9,2017-04-29 09:10:26.174917,2017-04-29 09:10:26.191836
425,12-3A,1161,614770.0,664770.0,4623.0704,,23,2017-05-20 07:55:21.686344,2017-05-20 07:55:21.686344
428,N36-3,1155,689040.0,783000.0,9715.464,,9,2017-05-21 09:39:29.462578,2017-05-21 09:39:29.484486
86,L31-03,947,486720.0,540800.0,4575.17,,10,2017-04-29 09:10:26.297211,2017-04-29 09:10:26.319103
434,13-02,578,827759.7,968140.0,13227.600006,,7,2017-05-22 13:16:47.707344,2017-05-22 13:16:47.719235
