id,project_id,percentage,effective_date,created_at,updated_at
1,1,1.7,2000-01-01,2017-07-05 07:47:40.711572,2017-07-05 07:47:40.711572
2,2,1.7,2000-01-01,2017-07-05 07:47:40.796248,2017-07-05 07:47:40.796248
3,3,2.5,2000-01-01,2017-07-05 07:47:41.326294,2017-07-05 07:47:41.326294
4,4,1.5,2000-01-01,2017-07-05 07:47:41.456494,2017-07-05 07:47:41.456494
5,5,1.5,2000-01-01,2017-07-05 07:47:42.2883,2017-07-05 07:47:42.2883
6,6,1.2,2000-01-01,2017-07-05 07:47:42.9839,2017-07-05 07:47:42.9839
7,7,1.7,2000-01-01,2017-07-05 07:47:43.985185,2017-07-05 07:47:43.985185
9,9,1.7,2000-01-01,2017-07-05 07:47:44.154845,2017-07-05 07:47:44.154845
12,11,2.5,2016-07-01,2017-07-08 07:42:54.925154,2017-07-08 07:42:54.925154
